[01, 02, 03, 04, 05, 06, 07],
[01, 08, 09, 10, 11, 12, 13],
[01, 14, 15, 16, 17, 18, 19],
[01, 20, 21, 22, 23, 24, 25],
[01, 26, 27, 28, 29, 30, 31],
[01, 32, 33, 34, 35, 36, 37],
[01, 38, 39, 40, 41, 42, 43],
[02, 08, 14, 20, 26, 32, 38],
[02, 09, 15, 21, 27, 33, 39],
[02, 10, 16, 22, 28, 34, 40],
[02, 11, 17, 23, 29, 35, 41],
[02, 12, 18, 24, 30, 36, 42],
[02, 13, 19, 25, 31, 37, 43],
[03, 08, 15, 22, 29, 36, 43],
[03, 09, 16, 23, 30, 37, 38],
[03, 10, 17, 24, 31, 32, 39],
[03, 11, 18, 25, 26, 33, 40],
[03, 12, 19, 20, 27, 34, 41],
[03, 13, 14, 21, 28, 35, 42],
[04, 08, 16, 24, 26, 34, 42],
[04, 09, 17, 25, 27, 35, 43],
[04, 10, 18, 20, 28, 36, 38],
[04, 11, 19, 21, 29, 37, 39],
[04, 12, 14, 22, 30, 32, 40],
[04, 13, 15, 23, 31, 33, 41],
[05, 08, 17, 20, 29, 32, 41],
[05, 09, 18, 21, 30, 33, 42],
[05, 10, 19, 22, 31, 34, 43],
[05, 11, 14, 23, 26, 35, 38],
[05, 12, 15, 24, 27, 36, 39],
[05, 13, 16, 25, 28, 37, 40],
[06, 08, 18, 22, 26, 36, 40],
[06, 09, 19, 23, 27, 37, 41],
[06, 10, 14, 24, 28, 32, 42],
[06, 11, 15, 25, 29, 33, 43],
[06, 12, 16, 20, 30, 34, 38],
[06, 13, 17, 21, 31, 35, 39],
[07, 08, 19, 24, 29, 34, 39],
[07, 09, 14, 25, 30, 35, 40],
[07, 10, 15, 20, 31, 36, 41],
[07, 11, 16, 21, 26, 37, 42],
[07, 12, 17, 22, 27, 32, 43],
[07, 13, 18, 23, 28, 33, 38],
