[01, 02, 03, 04, 05, 06]
[01, 07, 08, 09, 10, 11]
[01, 12, 13, 14, 15, 16]
[01, 17, 18, 19, 20, 21]
[01, 22, 23, 24, 25, 26]
[01, 27, 28, 29, 30, 31]
[02, 07, 12, 17, 22, 27]
[02, 08, 13, 18, 23, 28]
[02, 09, 14, 19, 24, 29]
[02, 10, 15, 20, 25, 30]
[02, 11, 16, 21, 26, 31]
[03, 07, 13, 19, 25, 31]
[03, 08, 14, 20, 26, 27]
[03, 09, 15, 21, 22, 28]
[03, 10, 16, 17, 23, 29]
[03, 11, 12, 18, 24, 30]
[04, 07, 14, 21, 23, 30]
[04, 08, 15, 17, 24, 31]
[04, 09, 16, 18, 25, 27]
[04, 10, 12, 19, 26, 28]
[04, 11, 13, 20, 22, 29]
[05, 07, 15, 18, 26, 29]
[05, 08, 16, 19, 22, 30]
[05, 09, 12, 20, 23, 31]
[05, 10, 13, 21, 24, 27]
[05, 11, 14, 17, 25, 28]
[06, 07, 16, 20, 24, 28]
[06, 08, 12, 21, 25, 29]
[06, 09, 13, 17, 26, 30]
[06, 10, 14, 18, 22, 31]
[06, 11, 15, 19, 23, 27]
