[01, 02, 03, 04, 05, 06, 07]
[01, 08, 09, 10, 11, 12, 13]
[01, 14, 15, 16, 17, 18, 19]
[01, 20, 21, 22, 23, 24, 25]
[01, 26, 27, 28, 29, 30, 31]
[01, 32, 33, 34, 35, 36, 37]
[01, 38, 39, 40, 41, 42, 43]
[02, 08, 14, 20, 26, 32, 38]
[02, 09, 15, 21, 27, 33, 39]
[02, 10, 16, 22, 28, 34, 40]
[02, 11, 17, 23, 29, 35, 41]
[02, 12, 18, 24, 30, 36, 42]
[02, 13, 19, 25, 31, 37, 43]
[03, 08, 15, 22, 29, 36, 43]
[03, 09, 14, 23, 28, 37, 42]
[03, 10, 17, 24, 31, 32, 39]
[03, 11, 16, 25, 30, 33, 38]
[03, 12, 19, 21, 26, 34, 41]
[03, 13, 18, 20, 27, 35, 40]
[04, 08, 16, 21, 31, 35, 42]
[04, 09, 17, 20, 30, 34, 43]
[04, 10, 14, 25, 27, 36, 41]
[05, 10, 19, 20, 29, 33, 42]
[05, 12, 16, 23, 27, 32, 43]
[05, 13, 17, 21, 28, 36, 38]
